uniqueid,bank_account,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
uniqueid_4291,No,Urban,Yes,2.0,39,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1869,No,Urban,No,1.0,47,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
uniqueid_5523,No,Rural,Yes,1.0,33,Female,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_5653,No,Urban,No,2.0,76,Female,Head of Household,Married/Living together,No formal education,Government Dependent
uniqueid_5819,No,Rural,Yes,2.0,43,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_225,No,Rural,No,3.0,28,Female,Other relative,Divorced/Seperated,Primary education,Remittance Dependent
uniqueid_5526,No,Urban,Yes,,18,Male,Parent,Divorced/Seperated,Primary education,Self employed
uniqueid_3065,No,Urban,No,1.0,35,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_1758,No,Rural,Yes,4.0,48,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_2510,No,Urban,No,2.0,21,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_1009,No,Urban,No,2.0,67,Male,Head of Household,Single/Never Married,No formal education,Self employed
uniqueid_1140,Yes,Rural,Yes,1.0,25,Female,Head of Household,Married/Living together,Tertiary education,Formally employed Private
uniqueid_3102,No,Urban,Yes,3.0,35,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_3961,No,Rural,Yes,1.0,38,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_3125,No,Urban,Yes,1.0,45,Female,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_1022,No,Rural,Yes,2.0,30,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_1812,Yes,Rural,Yes,2.0,65,Female,Head of Household,Married/Living together,No formal education,Government Dependent
uniqueid_5301,No,Urban,Yes,,65,Female,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_3251,No,Urban,Yes,2.0,39,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_918,No,Urban,No,2.0,68,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2203,No,Urban,No,2.0,45,Male,Head of Household,Single/Never Married,No formal education,Informally employed
uniqueid_2805,No,Urban,No,2.0,55,Male,Head of Household,Single/Never Married,Primary education,Remittance Dependent
uniqueid_4003,No,Urban,No,1.0,32,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
uniqueid_481,No,Rural,Yes,2.0,34,Female,Head of Household,Married/Living together,Secondary education,Informally employed
uniqueid_25,No,Rural,Yes,5.0,55,Female,Head of Household,Widowed,Primary education,Remittance Dependent
uniqueid_5064,No,Urban,No,2.0,23,Female,Spouse,Single/Never Married,No formal education,Informally employed
uniqueid_4447,No,Urban,Yes,,26,Female,Parent,Married/Living together,Primary education,Remittance Dependent
uniqueid_1340,No,Urban,Yes,2.0,21,Female,Other relative,Married/Living together,No formal education,Self employed
uniqueid_459,No,Urban,Yes,4.0,25,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_6106,No,Urban,Yes,2.0,31,Female,Spouse,Single/Never Married,Primary education,Informally employed
uniqueid_345,No,Urban,No,,20,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
uniqueid_6169,No,Urban,No,4.0,18,Female,Parent,Divorced/Seperated,Secondary education,Remittance Dependent
uniqueid_1442,No,Rural,No,5.0,16,Male,Parent,Divorced/Seperated,Primary education,Remittance Dependent
uniqueid_1732,No,Urban,Yes,2.0,49,Female,Head of Household,Widowed,Primary education,Government Dependent
uniqueid_4999,No,Urban,Yes,2.0,29,Male,Head of Household,Single/Never Married,Secondary education,Self employed
uniqueid_5441,No,Urban,No,2.0,60,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_2499,No,Urban,No,,17,Female,Other non-relatives,Single/Never Married,Primary education,Remittance Dependent
uniqueid_1345,No,Urban,Yes,2.0,70,Female,Head of Household,Widowed,Tertiary education,Remittance Dependent
uniqueid_4909,No,Urban,Yes,2.0,45,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_735,No,Urban,Yes,2.0,41,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2291,No,Urban,No,3.0,36,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_6007,No,Urban,Yes,2.0,60,Male,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_2977,No,Urban,Yes,2.0,30,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1246,No,Urban,Yes,2.0,52,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_364,No,Rural,No,2.0,17,Female,Other relative,Divorced/Seperated,Secondary education,No Income
uniqueid_4624,No,Urban,No,2.0,21,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_4950,Yes,Rural,Yes,1.0,21,Female,Head of Household,Divorced/Seperated,Tertiary education,Formally employed Private
uniqueid_1819,No,Urban,No,2.0,30,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_1227,No,Urban,Yes,2.0,28,Male,Head of Household,Single/Never Married,No formal education,Informally employed
uniqueid_5707,No,Urban,Yes,5.0,26,Male,Child,Single/Never Married,Primary education,Self employed
uniqueid_4278,No,Urban,Yes,1.0,71,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_2119,No,Urban,No,,58,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_227,No,Urban,No,3.0,17,Female,Other non-relatives,Divorced/Seperated,Primary education,No Income
uniqueid_4196,No,Rural,Yes,5.0,22,Male,Parent,Divorced/Seperated,Primary education,Informally employed
uniqueid_2694,No,Rural,Yes,2.0,32,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_1089,No,Rural,Yes,3.0,50,Female,Head of Household,Widowed,No formal education,Self employed
uniqueid_5330,No,Urban,No,2.0,38,Female,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_5600,No,Urban,Yes,3.0,18,Male,Parent,Divorced/Seperated,Tertiary education,Informally employed
uniqueid_6329,No,Urban,Yes,4.0,36,Female,Other relative,Married/Living together,Primary education,Self employed
uniqueid_1588,No,Rural,Yes,2.0,40,Male,Head of Household,Single/Never Married,Tertiary education,Self employed
uniqueid_3305,No,Urban,Yes,2.0,32,Male,Head of Household,Single/Never Married,Tertiary education,Informally employed
uniqueid_3300,Yes,Urban,Yes,2.0,24,Male,Head of Household,Single/Never Married,Secondary education,Formally employed Private
uniqueid_1144,No,Urban,No,,39,Male,Parent,Single/Never Married,Primary education,Informally employed
uniqueid_2160,No,Urban,No,2.0,18,Male,Parent,Divorced/Seperated,Primary education,Self employed
uniqueid_3885,No,Urban,No,3.0,16,Female,Parent,Divorced/Seperated,Primary education,No Income
uniqueid_6423,No,Urban,Yes,2.0,43,Female,Spouse,Single/Never Married,Primary education,Informally employed
uniqueid_1229,No,Rural,Yes,2.0,43,Male,Head of Household,Single/Never Married,Tertiary education,Informally employed
uniqueid_3443,No,Rural,No,2.0,25,Female,Spouse,Single/Never Married,Primary education,Informally employed
uniqueid_3492,Yes,Rural,Yes,3.0,61,Male,Head of Household,Single/Never Married,Tertiary education,Self employed
uniqueid_3878,No,Rural,Yes,2.0,30,Female,Spouse,Single/Never Married,Primary education,Informally employed
uniqueid_2265,No,Urban,Yes,1.0,51,Female,Head of Household,Married/Living together,No formal education,Self employed
uniqueid_3595,No,Urban,Yes,2.0,31,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_2461,No,Urban,No,2.0,65,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1724,No,Urban,Yes,1.0,23,Female,Head of Household,Divorced/Seperated,Tertiary education,Formally employed Private
uniqueid_549,No,Urban,Yes,2.0,48,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4694,No,Rural,Yes,3.0,30,Female,Spouse,Single/Never Married,Primary education,Formally employed Private
uniqueid_5718,No,Urban,No,2.0,18,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_233,No,Urban,Yes,1.0,23,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_196,No,Urban,No,,35,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_3199,No,Urban,No,3.0,32,Female,Spouse,Single/Never Married,Primary education,Informally employed
uniqueid_6172,No,Urban,No,3.0,49,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_5448,Yes,Rural,Yes,2.0,23,Male,Head of Household,Single/Never Married,Secondary education,Self employed
uniqueid_876,No,Urban,No,2.0,36,Male,Head of Household,Single/Never Married,No formal education,Self employed
uniqueid_261,No,Urban,Yes,2.0,24,Male,Parent,Divorced/Seperated,Secondary education,Self employed
uniqueid_409,No,Rural,No,4.0,18,Female,Parent,Divorced/Seperated,Secondary education,No Income
uniqueid_6512,No,Urban,No,1.0,67,Male,Head of Household,Widowed,No formal education,Self employed
uniqueid_1402,No,Urban,No,3.0,80,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1904,No,Rural,No,2.0,32,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
uniqueid_4760,No,Rural,No,5.0,19,Female,Parent,Divorced/Seperated,Primary education,Informally employed
uniqueid_4105,Yes,Rural,Yes,2.0,86,Male,Head of Household,Single/Never Married,Tertiary education,Self employed
uniqueid_5987,No,Rural,Yes,2.0,30,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_3042,No,Rural,Yes,1.0,39,Male,Head of Household,Single/Never Married,Tertiary education,Self employed
uniqueid_1221,No,Urban,Yes,,40,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_6159,No,Urban,Yes,3.0,40,Male,Parent,Single/Never Married,Primary education,Self employed
uniqueid_6119,No,Urban,Yes,2.0,23,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4748,No,Urban,Yes,,22,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4593,Yes,Rural,Yes,2.0,31,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private
uniqueid_790,No,Urban,Yes,2.0,28,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_5206,No,Urban,Yes,2.0,34,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_4242,No,Urban,No,3.0,18,Female,Parent,Divorced/Seperated,Secondary education,Remittance Dependent
uniqueid_6481,No,Urban,Yes,3.0,24,Male,Parent,Divorced/Seperated,Secondary education,Self employed
uniqueid_3928,No,Rural,No,2.0,20,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_4127,No,Urban,Yes,2.0,41,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_3051,Yes,Rural,Yes,1.0,28,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private
uniqueid_4620,No,Urban,No,3.0,81,Female,Other relative,Widowed,No formal education,No Income
uniqueid_369,No,Urban,Yes,1.0,30,Female,Head of Household,Married/Living together,Primary education,No Income
uniqueid_2266,No,Urban,Yes,2.0,48,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_6437,Yes,Rural,Yes,,22,Male,Head of Household,Divorced/Seperated,Vocational/Specialised training,No Income
uniqueid_640,No,Urban,Yes,,22,Male,Other relative,Divorced/Seperated,Primary education,Self employed
uniqueid_5735,No,Urban,Yes,2.0,29,Male,Other non-relatives,Divorced/Seperated,Vocational/Specialised training,Self employed
uniqueid_3556,No,Urban,Yes,,26,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_3592,No,Rural,Yes,1.0,24,Male,Head of Household,Divorced/Seperated,Secondary education,Remittance Dependent
uniqueid_1461,No,Urban,Yes,4.0,34,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_3330,No,Rural,Yes,,19,Male,Other relative,Divorced/Seperated,Primary education,Self employed
uniqueid_322,No,Urban,No,1.0,65,Female,Head of Household,Widowed,No formal education,Self employed
uniqueid_4286,No,Urban,Yes,4.0,51,Female,Other relative,Married/Living together,Primary education,Self employed
uniqueid_3145,No,Rural,Yes,3.0,37,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1959,No,Urban,Yes,3.0,51,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2956,No,Urban,Yes,2.0,17,Female,Parent,Divorced/Seperated,Primary education,Informally employed
uniqueid_1906,No,Urban,Yes,3.0,38,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_783,No,Urban,Yes,5.0,30,Male,Child,Single/Never Married,Secondary education,Informally employed
uniqueid_4617,No,Urban,Yes,2.0,28,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2487,No,Urban,Yes,2.0,24,Male,Head of Household,Single/Never Married,Secondary education,Self employed
uniqueid_5520,No,Urban,No,5.0,50,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_2834,No,Urban,Yes,2.0,41,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_731,No,Rural,No,2.0,18,Female,Spouse,Single/Never Married,No formal education,Informally employed
uniqueid_2435,No,Rural,Yes,1.0,49,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_4266,No,Urban,No,1.0,73,Female,Head of Household,Widowed,No formal education,No Income
uniqueid_1725,No,Urban,No,2.0,22,Female,Spouse,Single/Never Married,Tertiary education,Remittance Dependent
uniqueid_3711,No,Rural,Yes,3.0,21,Male,Other relative,Divorced/Seperated,Tertiary education,Self employed
uniqueid_1744,Yes,Rural,Yes,2.0,36,Female,Spouse,Single/Never Married,Tertiary education,Self employed
uniqueid_512,No,Urban,No,1.0,50,Female,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_5218,No,Urban,No,2.0,30,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_3357,No,Urban,No,4.0,26,Female,Parent,Married/Living together,Primary education,Self employed
uniqueid_3657,No,Urban,No,2.0,33,Female,Other relative,Married/Living together,Primary education,Informally employed
uniqueid_6197,No,Urban,No,2.0,43,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_6126,No,Urban,Yes,3.0,46,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4224,Yes,Rural,Yes,4.0,45,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2144,No,Urban,No,2.0,17,Male,Parent,Divorced/Seperated,Secondary education,Remittance Dependent
uniqueid_466,Yes,Urban,Yes,3.0,59,Male,Head of Household,Single/Never Married,Primary education,Government Dependent
uniqueid_3832,Yes,Rural,Yes,2.0,26,Female,Spouse,Single/Never Married,Tertiary education,Informally employed
uniqueid_4819,No,Urban,No,2.0,25,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_2971,No,Urban,Yes,,32,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_6495,No,Urban,Yes,2.0,60,Female,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_3671,No,Urban,Yes,2.0,36,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_5013,No,Rural,Yes,1.0,32,Female,Head of Household,Married/Living together,Tertiary education,Self employed
uniqueid_2213,No,Urban,Yes,1.0,31,Female,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_1181,No,Urban,No,1.0,57,Female,Head of Household,Widowed,No formal education,Government Dependent
uniqueid_3679,No,Urban,Yes,5.0,46,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_5908,No,Urban,Yes,1.0,41,Female,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_5213,No,Urban,No,2.0,40,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_4657,No,Urban,Yes,4.0,24,Female,Parent,Divorced/Seperated,Primary education,Self employed
uniqueid_326,No,Urban,Yes,,38,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1635,No,Urban,Yes,2.0,41,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_5430,No,Urban,No,1.0,63,Female,Head of Household,Widowed,No formal education,Remittance Dependent
uniqueid_3584,No,Urban,No,1.0,79,Female,Head of Household,Widowed,No formal education,Remittance Dependent
uniqueid_5642,No,Urban,No,8.0,18,Male,Parent,Divorced/Seperated,Primary education,Self employed
uniqueid_2280,No,Urban,No,4.0,40,Female,Head of Household,Single/Never Married,Tertiary education,Remittance Dependent
uniqueid_862,No,Urban,Yes,3.0,45,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_4367,No,Urban,Yes,7.0,26,Male,Parent,Divorced/Seperated,Tertiary education,Self employed
uniqueid_6354,No,Urban,Yes,2.0,28,Male,Head of Household,Single/Never Married,Tertiary education,Self employed
uniqueid_5311,No,Urban,Yes,2.0,53,Male,Head of Household,Single/Never Married,Primary education,Formally employed Private
uniqueid_1689,No,Urban,No,2.0,40,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_3742,No,Rural,Yes,4.0,47,Female,Other relative,Single/Never Married,Tertiary education,Remittance Dependent
uniqueid_450,No,Urban,No,2.0,35,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_5997,No,Rural,No,1.0,77,Female,Head of Household,Widowed,No formal education,Self employed
uniqueid_3640,No,Urban,No,1.0,30,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_1991,Yes,Rural,Yes,1.0,25,Male,Head of Household,Divorced/Seperated,Tertiary education,Informally employed
uniqueid_2332,No,Urban,Yes,3.0,25,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_6141,No,Urban,No,,20,Male,Parent,Divorced/Seperated,Secondary education,Informally employed
uniqueid_6323,No,Urban,Yes,3.0,43,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1024,No,Urban,Yes,2.0,35,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4567,No,Urban,Yes,4.0,44,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4037,Yes,Rural,Yes,3.0,58,Male,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
uniqueid_5193,Yes,Urban,Yes,2.0,50,Male,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
uniqueid_3036,No,Rural,Yes,2.0,35,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_2023,No,Urban,Yes,1.0,62,Female,Head of Household,Widowed,Primary education,Informally employed
uniqueid_2632,No,Rural,Yes,6.0,47,Female,Parent,Single/Never Married,Tertiary education,Remittance Dependent
uniqueid_5210,No,Urban,Yes,1.0,45,Female,Head of Household,Widowed,No formal education,Self employed
uniqueid_2635,No,Rural,Yes,,22,Male,Child,Divorced/Seperated,Tertiary education,Informally employed
uniqueid_2159,Yes,Rural,Yes,3.0,41,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_283,No,Rural,Yes,2.0,34,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1034,No,Urban,Yes,2.0,37,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_3521,No,Urban,No,1.0,90,Female,Head of Household,Widowed,No formal education,No Income
uniqueid_3719,No,Urban,No,1.0,72,Female,Head of Household,Widowed,No formal education,Self employed
uniqueid_2289,No,Urban,Yes,3.0,50,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_3857,No,Urban,Yes,1.0,58,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_2629,No,Urban,Yes,2.0,42,Male,Head of Household,Single/Never Married,No formal education,Self employed
uniqueid_2754,No,Urban,No,1.0,50,Male,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_1312,No,Rural,No,1.0,75,Male,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_4452,No,Urban,No,,22,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_6352,No,Urban,Yes,2.0,28,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_4429,No,Urban,No,2.0,24,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_755,No,Rural,Yes,,51,Male,Head of Household,Single/Never Married,Primary education,Formally employed Private
uniqueid_5387,No,Urban,No,2.0,21,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_4317,Yes,Rural,Yes,4.0,29,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4130,No,Urban,No,2.0,28,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_2039,No,Rural,Yes,,63,Male,Head of Household,Single/Never Married,Primary education,Formally employed Private
uniqueid_5171,No,Urban,No,2.0,26,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_4357,No,Urban,No,1.0,58,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_270,No,Urban,Yes,1.0,42,Female,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_6579,No,Urban,Yes,1.0,63,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_2830,No,Urban,Yes,3.0,37,Female,Parent,Married/Living together,Primary education,Self employed
uniqueid_1156,No,Urban,Yes,4.0,40,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_6311,No,Urban,Yes,1.0,47,Male,Head of Household,Widowed,Primary education,Self employed
uniqueid_4284,No,Urban,No,2.0,17,Male,Parent,Divorced/Seperated,No formal education,Informally employed
uniqueid_4001,No,Rural,No,2.0,35,Male,Head of Household,Single/Never Married,No formal education,Self employed
uniqueid_2647,No,Urban,Yes,9.0,23,Male,Parent,Divorced/Seperated,Tertiary education,Informally employed
uniqueid_1342,No,Rural,No,2.0,25,Female,Spouse,Single/Never Married,Tertiary education,Self employed
uniqueid_5048,No,Rural,Yes,2.0,32,Female,Parent,Single/Never Married,No formal education,Self employed
uniqueid_6083,No,Rural,Yes,1.0,21,Female,Head of Household,Divorced/Seperated,Secondary education,Informally employed
uniqueid_6343,No,Urban,No,3.0,34,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_648,No,Urban,No,2.0,32,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_4378,No,Urban,Yes,2.0,28,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_6097,Yes,Rural,Yes,1.0,29,Male,Head of Household,Single/Never Married,Tertiary education,Self employed
uniqueid_6258,No,Urban,Yes,2.0,40,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2690,No,Rural,Yes,3.0,37,Female,Parent,Married/Living together,Primary education,Self employed
uniqueid_4288,No,Urban,No,,17,Female,Parent,Divorced/Seperated,Secondary education,No Income
uniqueid_4365,No,Rural,Yes,3.0,52,Female,Spouse,Single/Never Married,Secondary education,Self employed
uniqueid_467,No,Urban,Yes,2.0,25,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_934,No,Urban,No,6.0,40,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_6584,No,Rural,No,1.0,68,Male,Head of Household,Widowed,Primary education,Informally employed
uniqueid_172,No,Rural,Yes,2.0,23,Female,Spouse,Single/Never Married,Tertiary education,Formally employed Private
uniqueid_525,No,Urban,Yes,1.0,33,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2788,No,Urban,No,2.0,26,Female,Spouse,Single/Never Married,Secondary education,Self employed
uniqueid_4008,No,Urban,Yes,2.0,35,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
uniqueid_2049,No,Urban,No,5.0,30,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_75,Yes,Urban,Yes,2.0,36,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_6403,No,Rural,Yes,,31,Female,Spouse,Single/Never Married,Tertiary education,Self employed
uniqueid_1949,No,Urban,No,2.0,42,Female,Spouse,Single/Never Married,Primary education,Government Dependent
uniqueid_5711,No,Urban,No,1.0,86,Female,Head of Household,Widowed,No formal education,No Income
uniqueid_3192,No,Urban,No,2.0,76,Female,Other relative,Widowed,No formal education,Remittance Dependent
uniqueid_1284,No,Urban,No,2.0,38,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_3567,No,Rural,Yes,3.0,39,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_5875,No,Urban,Yes,,33,Female,Parent,Married/Living together,Primary education,Self employed
uniqueid_4652,No,Urban,Yes,,61,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_4848,No,Urban,Yes,3.0,50,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_1220,No,Urban,Yes,2.0,33,Female,Spouse,Single/Never Married,Primary education,Informally employed
uniqueid_1836,No,Urban,No,2.0,30,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1020,No,Urban,No,2.0,20,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_1493,No,Urban,Yes,2.0,32,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_5963,No,Urban,Yes,,20,Female,Spouse,Single/Never Married,Secondary education,Self employed
uniqueid_4611,No,Rural,Yes,5.0,63,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_6120,No,Urban,Yes,3.0,20,Male,Parent,Divorced/Seperated,Primary education,Self employed
uniqueid_956,No,Urban,Yes,4.0,35,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_5398,No,Urban,Yes,,24,Female,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_278,No,Urban,Yes,2.0,30,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4360,Yes,Rural,Yes,2.0,38,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Self employed
uniqueid_3708,No,Urban,Yes,5.0,40,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_5518,No,Rural,Yes,2.0,19,Female,Spouse,Single/Never Married,Primary education,No Income
uniqueid_658,No,Urban,No,2.0,45,Male,Head of Household,Single/Never Married,No formal education,Informally employed
uniqueid_5647,No,Urban,Yes,1.0,35,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_3937,No,Urban,No,2.0,38,Male,Head of Household,Single/Never Married,No formal education,Self employed
uniqueid_4081,Yes,Rural,Yes,3.0,26,Female,Spouse,Single/Never Married,Tertiary education,Formally employed Private
uniqueid_5726,No,Rural,Yes,2.0,29,Female,Spouse,Single/Never Married,Secondary education,No Income
uniqueid_4916,Yes,Urban,Yes,2.0,70,Male,Head of Household,Single/Never Married,Tertiary education,Self employed
uniqueid_4375,No,Urban,Yes,1.0,66,Female,Head of Household,Married/Living together,No formal education,Self employed
uniqueid_2862,No,Urban,No,,25,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1623,No,Urban,No,4.0,50,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_93,No,Urban,Yes,3.0,57,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2831,No,Urban,Yes,2.0,41,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_5104,No,Urban,No,4.0,62,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_5319,No,Urban,Yes,4.0,20,Male,Child,Divorced/Seperated,No formal education,Formally employed Private
uniqueid_4798,No,Urban,No,2.0,42,Female,Spouse,Single/Never Married,Primary education,No Income
uniqueid_1690,No,Urban,No,4.0,16,Female,Parent,Divorced/Seperated,Primary education,No Income
uniqueid_5734,Yes,Urban,Yes,,26,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private
uniqueid_4788,No,Urban,No,2.0,59,Female,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_6554,No,Urban,Yes,2.0,30,Female,Spouse,Single/Never Married,No formal education,Remittance Dependent
uniqueid_5815,No,Rural,No,3.0,18,Female,Parent,Divorced/Seperated,Secondary education,Remittance Dependent
uniqueid_6385,Yes,Rural,Yes,1.0,22,Female,Head of Household,Divorced/Seperated,Vocational/Specialised training,Self employed
